Scenario,B0. Business as Usual (BAU),B1. Standalone PV,B2. PV and Storage
PV Size (kW-DC),-,-,-
Battery Size (kW),-,-,253.41
Battery Capacity (kWh),-,-,311.37
Capital Cost ($),-,-,323197.09
Microgrid Upgrade and Fuel Cost ($),-,-,-
RE Penetration (%),-,-,-
Annual CO2 Emissions (Tons),72110.7,72110.7,72110.69
Lifecycle CO2 Emissions (Tons),1.55181212e6,1.55181212e6,1.55181201e6
Lifecycle CO2 Reduction (%),-,-,-
Year 1 Electric Grid Purchases (MWh),1.12300614e6,1.12300614e6,1.12300981e6
Total Lifecycle Cost ($),9.253280168e7,9.253280168e7,9.240535641e7
Year 1 Energy Charges ($),6.31924361e6,6.31924361e6,6.31926422e6
Year 1 Demand Charges ($),3.73796208e6,3.73796208e6,3.68884312e6
Year 1 Total Electric Bill Costs ($),1.008162669e7,1.008162669e7,1.003252834e7
Year 1 Energy Charge Savings ($),-,-,-20.61
Year 1 Demand Charge Savings ($),-,-,49118.96
Year 1 Total Electric Bill Savings ($),-,-,49098.35
Year 1 Utility Savings (%),-,-,-
Total Utility Electricity Cost ($),9.253280168e7,9.253280168e7,9.208215932e7
Lifecycle Savings (%),-,-,-
Net Present Value ($),-,-,127445.27
PV Levelized Cost of Energy ($/kWh),-,-,-
Payback Period (Years),-,-,12.96
Year 1 Net Metering Benefit ($),-,-,-
